session,username,application,activity,event,time,created_at,updated_at,event_value,name,switch,x,type,board,source,dest,y,currentFlowing,groupname
d8452ed7-1d97-f299-0768-0cfb9eed6012,Lion,Teaching Teamwork,adder,Add wire,1487266364.006,0.0,0.0,"","","","","",0,"{""component""=>""lc2"", ""pin""=>{""index""=>4, ""name""=>""5""}, ""type""=>""pin"", ""board""=>0}","{""component""=>""lc0"", ""pin""=>{""index""=>7, ""name""=>""8""}, ""type""=>""pin"", ""board""=>0}","",true,Animals
d8452ed7-1d97-f299-0768-0cfb9eed6012,Lion,Teaching Teamwork,adder,Add wire,1487266370.542999,0.0,0.0,"","","","","",0,"{""component""=>""lc2"", ""pin""=>{""index""=>5, ""name""=>""6""}, ""type""=>""pin"", ""board""=>0}","{""connector""=>""bus"", ""hole""=>{""index""=>2, ""color""=>""#555""}, ""type""=>""hole"", ""board""=>0}","",true,Animals
086f8831-cac6-08a4-351f-e2747fcae696,Tiger,Teaching Teamwork,adder,Add wire,1487266373.499,0.0,0.0,"","","","","",1,"{""component""=>""lc0"", ""pin""=>{""index""=>8, ""name""=>""9""}, ""type""=>""pin"", ""board""=>1}","{""component""=>""lc0"", ""pin""=>{""index""=>4, ""name""=>""5""}, ""type""=>""pin"", ""board""=>1}","",true,Animals
d8452ed7-1d97-f299-0768-0cfb9eed6012,Lion,Teaching Teamwork,adder,Sent message,1487266393.835,0.0,0.0,#3 is the top for the second one of the third input for you,"","","","",0,"","","",true,Animals
d8452ed7-1d97-f299-0768-0cfb9eed6012,Lion,Teaching Teamwork,adder,Closed board,1487266429.3049998,0.0,0.0,0,"","","","",0,"","","",true,Animals
086f8831-cac6-08a4-351f-e2747fcae696,Tiger,Teaching Teamwork,adder,Closed board,1487266429.716,0.0,0.0,1,"","","","",1,"","","",true,Animals
086f8831-cac6-08a4-351f-e2747fcae696,Tiger,Teaching Teamwork,adder,Sent message,1487266445.4129999,0.0,0.0,we are not onsame page,"","","","",1,"","","",true,Animals
d8452ed7-1d97-f299-0768-0cfb9eed6012,Lion,Teaching Teamwork,adder,Opened board,1487266451.520999,0.0,0.0,0,"","","","",0,"","","",true,Animals
d8452ed7-1d97-f299-0768-0cfb9eed6012,Lion,Teaching Teamwork,adder,Move Logic Chip,1487266468.8769999,0.0,0.0,"",lc1,"",384.16,7408,0,"","",260.68,true,Animals
d8452ed7-1d97-f299-0768-0cfb9eed6012,Lion,Teaching Teamwork,adder,Add Logic Chip,1487266471.2099998,0.0,0.0,"",lc0,"",123.48,7411,0,"","",233.24,true,Animals
d8452ed7-1d97-f299-0768-0cfb9eed6012,Lion,Teaching Teamwork,adder,Move Logic Chip,1487266475.359999,0.0,0.0,"",lc0,"",480.20000000000005,7411,0,"","",246.96,true,Animals
086f8831-cac6-08a4-351f-e2747fcae696,Tiger,Teaching Teamwork,adder,Opened board,1487266478.746999,0.0,0.0,1,"","","","",1,"","","",true,Animals
d8452ed7-1d97-f299-0768-0cfb9eed6012,Lion,Teaching Teamwork,adder,Remove Logic Chip,1487266479.3379998,0.0,0.0,"",lc1,"",384.16,7408,0,"","",260.68,true,Animals
d8452ed7-1d97-f299-0768-0cfb9eed6012,Lion,Teaching Teamwork,adder,Move Logic Chip,1487266483.2219992,0.0,0.0,"",lc0,"",123.48,7411,0,"","",260.68,true,Animals
086f8831-cac6-08a4-351f-e2747fcae696,Tiger,Teaching Teamwork,adder,Move Logic Chip,1487266492.7019992,0.0,0.0,"",lc0,"",82.32000000000001,7411,1,"","",219.52,true,Animals
d8452ed7-1d97-f299-0768-0cfb9eed6012,Lion,Teaching Teamwork,adder,Add Logic Chip,1487266501.641,0.0,0.0,"",lc1,"",411.6,7404,0,"","",246.96,true,Animals
d8452ed7-1d97-f299-0768-0cfb9eed6012,Lion,Teaching Teamwork,adder,Remove Logic Chip,1487266504.551,0.0,0.0,"",lc1,"",411.6,7404,0,"","",246.96,true,Animals
086f8831-cac6-08a4-351f-e2747fcae696,Tiger,Teaching Teamwork,adder,Move Logic Chip,1487266509.7219992,0.0,0.0,"",lc0,"",123.48,7411,1,"","",150.92000000000002,true,Animals
086f8831-cac6-08a4-351f-e2747fcae696,Tiger,Teaching Teamwork,adder,Move Logic Chip,1487266515.332999,0.0,0.0,"",lc0,"",123.48,7411,1,"","",246.96,true,Animals
086f8831-cac6-08a4-351f-e2747fcae696,Tiger,Teaching Teamwork,adder,Move Logic Chip,1487266517.605999,0.0,0.0,"",lc0,"",123.48,7411,1,"","",246.96,true,Animals
086f8831-cac6-08a4-351f-e2747fcae696,Tiger,Teaching Teamwork,adder,Remove wire,1487266544.842999,0.0,0.0,"","","","","",1,"{""component""=>""lc0"", ""pin""=>{""index""=>5, ""name""=>""6""}, ""type""=>""pin"", ""board""=>1}","{""component""=>""lc1"", ""pin""=>{""index""=>8, ""name""=>""9""}, ""type""=>""pin"", ""board""=>1}","",true,Animals
086f8831-cac6-08a4-351f-e2747fcae696,Tiger,Teaching Teamwork,adder,Remove wire,1487266549.671999,0.0,0.0,"","","","","",1,"{""component""=>""lc0"", ""pin""=>{""index""=>8, ""name""=>""9""}, ""type""=>""pin"", ""board""=>1}","{""component""=>""lc0"", ""pin""=>{""index""=>4, ""name""=>""5""}, ""type""=>""pin"", ""board""=>1}","",true,Animals
